CÓDIGO PRESA	CODIGO PRESA EXTRAIDO	CODIGO ACTIVIDAD	CODIGO ACTIVIDAD EXTRAIDO	NOMBRE ACTIVIDAD	MANTENIMIENTO	PERIOCIDAD	PERSONAL	TIPO_EQUIPO	OkEliminar
CHG.E58 - TTM6860 - TAB01 - CTM6860	CHG.E58	CHG.E58 - TTM6860 - TAB01 - CTM6860	 TTM6860 - TAB01 - CTM6860	COMPUERTA VAGÓN ABASTECIMIENTO Nº01	PINTURA	07_ANUAL	EE	COMPUERTA	OK
CHG.E58 - TTM6860 - TAB01 - CTM6860	CHG.E58	CHG.E58 - TTM6860 - TAB01 - CTM6860	 TTM6860 - TAB01 - CTM6860	COMPUERTA VAGÓN ABASTECIMIENTO Nº01	REVISIÓN	07_ANUAL	EE	COMPUERTA	OK
CHG.E58 - TTM6860 - TAB01 - RGR	CHG.E58	CHG.E58 - TTM6860 - TAB01 - RGR	 TTM6860 - TAB01 - RGR	REJA DE GRUESOS TOMA DE AGUA INTERMEDIA	0	0	0	REJA	0
CHG.E58 - TTM7760 - TAB01 - CTM7760	CHG.E58	CHG.E58 - TTM7760 - TAB01 - CTM7760	 TTM7760 - TAB01 - CTM7760	COMPUERTA VAGÓN DE ABASTECIMIENTO Nº03	MANIOBRA	05_TRIMESTRAL	PP	COMPUERTA	OK
CHG.E58 - TTM7760 - TAB01 - CTM7760	CHG.E58	CHG.E58 - TTM7760 - TAB01 - CTM7760	 TTM7760 - TAB01 - CTM7760	COMPUERTA VAGÓN DE ABASTECIMIENTO Nº03	PINTURA	07_ANUAL	EE	COMPUERTA	OK
CHG.E58 - TTM7760 - TAB01 - CTM7760	CHG.E58	CHG.E58 - TTM7760 - TAB01 - CTM7760	 TTM7760 - TAB01 - CTM7760	COMPUERTA VAGÓN DE ABASTECIMIENTO Nº03	REVISIÓN	07_ANUAL	EE	COMPUERTA	OK
CHG.E58 - TTM7760 - TAB01 - RGR	CHG.E58	CHG.E58 - TTM7760 - TAB01 - RGR	 TTM7760 - TAB01 - RGR	REJA DE GRUESOS TOMA DE AGUA SUPERIOR	0	0	0	REJA	0
CHG.E58 - TTM5825 - TAB01 - CTM5825	CHG.E58	CHG.E58 - TTM5825 - TAB01 - CTM5825	 TTM5825 - TAB01 - CTM5825	COMPUERTA VAGÓN (ATAGUÍA) TOMA INFERIOR (Nº 02)	MANIOBRA	05_TRIMESTRAL	PP	COMPUERTA	OK
CHG.E58 - TTM5825 - TAB01 - CTM5825	CHG.E58	CHG.E58 - TTM5825 - TAB01 - CTM5825	 TTM5825 - TAB01 - CTM5825	COMPUERTA VAGÓN (ATAGUÍA) TOMA INFERIOR (Nº 02)	PINTURA	07_ANUAL	EE	COMPUERTA	OK
CHG.E58 - TTM5825 - TAB01 - CTM5825	CHG.E58	CHG.E58 - TTM5825 - TAB01 - CTM5825	 TTM5825 - TAB01 - CTM5825	COMPUERTA VAGÓN (ATAGUÍA) TOMA INFERIOR (Nº 02)	REVISIÓN	07_ANUAL	EE	COMPUERTA	OK
